Channel 0	Channel 1	Channel 2	Channel 3
-4.613	-4.480	-4.512	-4.303
-4.546	-4.405	-4.413	-4.168
-4.584	-4.441	-4.460	-4.089
-4.639	-4.532	-4.418	-4.037
-4.761	-4.488	-4.247	-4.017
-4.527	-4.556	-4.295	-4.060
-4.664	-4.441	-4.155	-4.017
-4.493	-4.320	-4.232	-4.210
-4.577	-4.356	-4.317	-3.981
-4.591	-4.463	-4.400	-4.017
-4.568	-4.429	-4.115	-4.067
-4.641	-4.346	-4.261	-4.052
-4.550	-4.255	-4.088	-4.067
-4.626	-4.450	-4.085	-4.079
-4.425	-4.457	-4.063	-3.932
-4.609	-4.229	-4.180	-3.854
-4.666	-4.370	-4.084	-3.968
-4.458	-4.433	-4.233	-3.911
-4.591	-4.196	-3.965	-3.783
-4.589	-4.284	-3.970	-3.886
-4.368	-4.412	-4.151	-3.909
-4.411	-4.329	-3.916	-3.818
-4.413	-4.249	-3.990	-3.779
-4.501	-4.136	-3.883	-3.910
-4.320	-4.329	-4.020	-3.865
-4.370	-4.174	-3.955	-3.650
-4.287	-4.165	-3.871	-3.584
-4.261	-4.335	-4.101	-3.595
-4.269	-4.122	-3.870	-3.666
-4.343	-4.234	-3.884	-3.521
-4.427	-4.047	-3.771	-3.676
-4.336	-4.064	-3.800	-3.529
-4.207	-4.254	-3.988	-3.715
-4.426	-4.215	-3.713	-3.619
-4.219	-4.072	-3.944	-3.661
-4.214	-3.955	-3.814	-3.528
-4.335	-3.965	-3.833	-3.598
-4.161	-3.977	-3.887	-3.421
-4.293	-3.997	-3.796	-3.585
-4.160	-4.101	-3.593	-3.354
-4.124	-4.082	-3.801	-3.400
-4.304	-3.947	-3.755	-3.299
-4.078	-3.873	-3.650	-3.445
-4.283	-3.866	-3.570	-3.424
-4.077	-3.835	-3.682	-3.211
-4.082	-4.032	-3.625	-3.442
-4.167	-3.860	-3.506	-3.305
-4.196	-3.801	-3.624	-3.421
-4.194	-3.966	-3.528	-3.244
-4.159	-3.729	-3.533	-3.358
-4.182	-3.737	-3.606	-3.106
-3.881	-3.654	-3.637	-3.312
-3.933	-3.843	-3.611	-3.047
-3.900	-3.740	-3.502	-3.198
-3.932	-3.614	-3.496	-3.078
-3.948	-3.683	-3.462	-3.153
-3.971	-3.674	-3.489	-3.111
-4.028	-3.683	-3.505	-2.957
-3.979	-3.748	-3.486	-2.956
-3.800	-3.571	-3.183	-2.911
-3.770	-3.717	-3.166	-2.890
-3.890	-3.707	-3.426	-2.894
-3.799	-3.451	-3.115	-2.987
-3.695	-3.434	-3.377	-2.867
-3.935	-3.492	-3.358	-3.007
-3.820	-3.400	-3.328	-2.744
-3.844	-3.606	-3.213	-2.848
-3.809	-3.337	-3.279	-2.833
-3.782	-3.397	-3.050	-2.667
-3.602	-3.406	-3.107	-2.727
-3.707	-3.479	-3.164	-2.654
-3.597	-3.404	-3.142	-2.567
-3.695	-3.318	-3.062	-2.775
-3.628	-3.434	-3.064	-2.763
-3.580	-3.229	-2.966	-2.775
-3.556	-3.334	-3.002	-2.479
-3.593	-3.342	-3.014	-2.443
-3.666	-3.274	-2.958	-2.583
-3.623	-3.123	-2.897	-2.443
-3.388	-3.110	-2.935	-2.551
-3.489	-3.269	-2.783	-2.403
-3.420	-3.206	-2.878	-2.444
-3.320	-3.048	-2.875	-2.570
-3.465	-3.113	-2.729	-2.441
-3.454	-3.025	-2.767	-2.423
-3.391	-2.915	-2.596	-2.338
-3.244	-2.923	-2.722	-2.257
-3.286	-3.034	-2.735	-2.205
-3.280	-3.074	-2.652	-2.317
-3.342	-2.802	-2.738	-2.110
-3.222	-2.811	-2.725	-2.208
-3.242	-2.888	-2.641	-2.102
-3.343	-2.734	-2.568	-2.056
-3.161	-2.898	-2.641	-2.162
-3.193	-2.734	-2.400	-2.142
-3.081	-2.825	-2.326	-2.109
-3.064	-2.682	-2.457	-2.185
-3.120	-2.674	-2.417	-2.073
-3.175	-2.781	-2.253	-2.104
-3.068	-2.641	-2.425	-2.034
-2.969	-2.675	-2.331	-1.829
-2.941	-2.657	-2.316	-1.911
-2.922	-2.626	-2.244	-1.982
-3.046	-2.495	-2.193	-1.929
-2.860	-2.555	-2.237	-1.814
-2.957	-2.439	-2.088	-1.739
-2.794	-2.537	-2.049	-1.914
-2.703	-2.417	-2.166	-1.601
-2.967	-2.367	-2.221	-1.771
-2.874	-2.593	-2.146	-1.735
-2.812	-2.287	-1.922	-1.504
-2.730	-2.424	-2.025	-1.626
-2.719	-2.470	-1.986	-1.453
-2.634	-2.381	-2.028	-1.700
-2.624	-2.172	-2.058	-1.433
-2.686	-2.329	-1.757	-1.359
-2.501	-2.147	-1.758	-1.449
-2.679	-2.271	-1.861	-1.474
-2.670	-2.219	-1.955	-1.474
-2.460	-2.157	-1.916	-1.449
-2.419	-2.121	-1.649	-1.492
-2.411	-2.248	-1.719	-1.343
-2.338	-1.999	-1.576	-1.200
-2.533	-1.954	-1.791	-1.252
-2.562	-1.966	-1.615	-1.174
-2.255	-1.924	-1.593	-1.258
-2.332	-1.940	-1.614	-1.300
-2.441	-1.904	-1.461	-1.039
-2.365	-2.019	-1.425	-1.260
-2.424	-1.855	-1.645	-1.242
-2.234	-1.941	-1.353	-0.991
-2.238	-1.836	-1.465	-0.915
-2.070	-1.692	-1.518	-1.096
-2.279	-1.849	-1.278	-0.907
-2.264	-1.783	-1.328	-0.829
-2.158	-1.642	-1.259	-0.927
-2.091	-1.687	-1.167	-0.828
-2.090	-1.682	-1.193	-0.764
-2.044	-1.541	-1.192	-0.724
-1.975	-1.684	-1.280	-0.876
-2.074	-1.706	-1.144	-0.906
-1.804	-1.508	-1.254	-0.835
-2.058	-1.397	-1.175	-0.650
-1.872	-1.412	-1.111	-0.734
-1.761	-1.466	-0.980	-0.707
-1.903	-1.374	-1.052	-0.766
-1.821	-1.455	-1.149	-0.459
-1.794	-1.272	-0.939	-0.452
-1.850	-1.408	-1.026	-0.436
-1.866	-1.330	-1.063	-0.542
-1.635	-1.249	-0.888	-0.592
-1.722	-1.322	-0.922	-0.373
-1.563	-1.313	-0.922	-0.348
-1.634	-1.243	-0.816	-0.295
-1.653	-1.057	-0.633	-0.394
-1.625	-1.041	-0.849	-0.449
-1.602	-1.012	-0.750	-0.257
-1.573	-1.210	-0.650	-0.121
-1.544	-1.117	-0.753	-0.325
-1.428	-0.945	-0.702	-0.047
-1.417	-1.100	-0.705	-0.245
-1.234	-1.067	-0.482	-0.189
-1.352	-0.834	-0.507	0.029
-1.274	-0.897	-0.619	-0.167
-1.263	-0.947	-0.454	-0.182
-1.117	-0.806	-0.363	0.044
-1.161	-0.698	-0.409	0.041
-1.185	-0.820	-0.260	0.050
-1.269	-0.613	-0.295	0.170
-1.131	-0.687	-0.448	0.222
-1.058	-0.591	-0.387	0.031
-1.026	-0.810	-0.263	0.206
-1.093	-0.659	-0.228	0.136
-1.162	-0.745	-0.053	0.179
-1.092	-0.504	-0.048	0.254
-1.067	-0.650	-0.112	0.335
-0.793	-0.457	-0.208	0.422
-1.031	-0.611	-0.019	0.420
-0.941	-0.347	-0.141	0.489
-0.746	-0.519	0.104	0.491
-0.782	-0.408	-0.117	0.301
-0.757	-0.517	0.026	0.519
-0.771	-0.362	0.184	0.524
-0.728	-0.207	0.026	0.632
-0.594	-0.250	0.283	0.499
-0.519	-0.214	0.202	0.495
-0.599	-0.337	0.109	0.643
-0.474	-0.126	0.263	0.516
-0.646	-0.072	0.181	0.681
-0.623	0.020	0.416	0.708
-0.558	-0.016	0.189	0.617
-0.598	0.075	0.332	0.777
-0.401	-0.127	0.456	0.844
-0.558	-0.136	0.403	0.845
-0.257	-0.112	0.588	0.789
-0.430	0.201	0.491	1.021
-0.430	-0.042	0.415	0.899
-0.163	0.045	0.657	1.003
-0.244	0.277	0.516	1.061
-0.384	0.295	0.582	0.912
-0.274	0.163	0.532	1.162
-0.187	0.120	0.674	0.980
-0.169	0.261	0.668	1.084
-0.113	0.227	0.664	1.256
-0.207	0.273	0.682	1.040
-0.156	0.469	0.786	1.064
0.054	0.341	0.860	1.343
